"rank" 0 1 2 3 4 
0.00000 1.0000 1.0000 1.0000 1.0000 1.0000 
0.00007 1.0000 1.0000 0.9999 1.0000 0.9998 
0.00014 1.0000 1.0000 0.9999 1.0000 0.9996 
0.00021 1.0000 1.0000 0.9998 1.0000 0.9994 
0.00028 1.0000 1.0000 0.9997 1.0000 0.9992 
0.00035 1.0000 1.0000 0.9997 1.0000 0.9990 
0.00042 1.0000 1.0000 0.9996 1.0000 0.9988 
0.00049 1.0000 1.0000 0.9995 1.0000 0.9986 
0.00056 1.0000 1.0000 0.9994 1.0000 0.9984 
0.00063 0.9999 1.0000 0.9994 1.0000 0.9982 
0.00070 0.9999 1.0000 0.9993 1.0000 0.9980 
0.00077 0.9999 1.0000 0.9992 1.0000 0.9978 
0.00084 0.9999 1.0000 0.9992 1.0000 0.9976 
0.00091 0.9999 1.0000 0.9991 1.0000 0.9974 
0.00098 0.9999 1.0000 0.9990 1.0000 0.9972 
0.00105 0.9999 1.0000 0.9990 1.0000 0.9971 
0.00112 0.9999 1.0000 0.9989 1.0000 0.9969 
0.00119 0.9999 1.0000 0.9988 1.0000 0.9967 
0.00126 0.9999 1.0000 0.9987 1.0000 0.9965 
0.00133 0.9999 1.0000 0.9987 1.0000 0.9963 
0.00140 0.9999 1.0000 0.9986 1.0000 0.9961 
0.00147 0.9999 1.0000 0.9985 1.0000 0.9959 
0.00154 0.9999 1.0000 0.9985 1.0000 0.9957 
0.00161 0.9999 1.0000 0.9984 1.0000 0.9955 
0.00168 0.9999 1.0000 0.9983 1.0000 0.9953 
0.00175 0.9998 1.0000 0.9983 1.0000 0.9951 
0.00182 0.9998 1.0000 0.9982 1.0000 0.9949 
0.00189 0.9998 1.0000 0.9981 1.0000 0.9947 
0.00196 0.9998 1.0000 0.9980 1.0000 0.9945 
0.00203 0.9998 1.0000 0.9980 1.0000 0.9943 
0.00210 0.9998 1.0000 0.9979 1.0000 0.9941 
0.00217 0.9998 1.0000 0.9978 1.0000 0.9940 
0.00224 0.9998 1.0000 0.9978 1.0000 0.9938 
0.00231 0.9998 1.0000 0.9977 1.0000 0.9936 
0.00238 0.9998 1.0000 0.9976 1.0000 0.9934 
0.00245 0.9998 1.0000 0.9975 1.0000 0.9932 
0.00252 0.9998 1.0000 0.9975 1.0000 0.9930 
0.00259 0.9998 1.0000 0.9974 1.0000 0.9928 
0.00266 0.9998 1.0000 0.9973 1.0000 0.9926 
0.00273 0.9998 1.0000 0.9973 1.0000 0.9924 
0.00280 0.9998 1.0000 0.9972 1.0000 0.9922 
0.00287 0.9997 1.0000 0.9971 1.0000 0.9920 
0.00295 0.9997 1.0000 0.9970 1.0000 0.9918 
0.00302 0.9997 1.0000 0.9970 1.0000 0.9917 
0.00309 0.9997 1.0000 0.9969 1.0000 0.9915 
0.00316 0.9997 1.0000 0.9968 1.0000 0.9913 
0.00323 0.9997 1.0000 0.9968 1.0000 0.9911 
0.00330 0.9997 1.0000 0.9967 1.0000 0.9909 
0.00337 0.9997 1.0000 0.9966 1.0000 0.9907 
0.00344 0.9997 1.0000 0.9965 1.0000 0.9905 
0.00351 0.9997 1.0000 0.9965 1.0000 0.9903 
0.00358 0.9997 1.0000 0.9964 1.0000 0.9901 
0.00365 0.9997 1.0000 0.9963 1.0000 0.9899 
0.00372 0.9997 1.0000 0.9963 1.0000 0.9897 
0.00379 0.9997 1.0000 0.9962 1.0000 0.9896 
0.00386 0.9997 1.0000 0.9961 1.0000 0.9894 
0.00393 0.9996 1.0000 0.9960 1.0000 0.9892 
0.00400 0.9996 1.0000 0.9960 1.0000 0.9890 
0.00407 0.9996 1.0000 0.9959 1.0000 0.9888 
0.00414 0.9996 1.0000 0.9958 1.0000 0.9886 
0.00421 0.9996 1.0000 0.9957 1.0000 0.9884 
0.00428 0.9996 1.0000 0.9957 1.0000 0.9882 
0.00435 0.9996 1.0000 0.9956 1.0000 0.9880 
0.00442 0.9996 1.0000 0.9955 1.0000 0.9878 
0.00449 0.9996 1.0000 0.9955 1.0000 0.9877 
0.00456 0.9996 1.0000 0.9954 1.0000 0.9875 
0.00463 0.9996 1.0000 0.9953 1.0000 0.9873 
0.00470 0.9996 1.0000 0.9952 1.0000 0.9871 
0.00477 0.9996 1.0000 0.9952 1.0000 0.9869 
0.00484 0.9996 1.0000 0.9951 1.0000 0.9867 
0.00491 0.9996 1.0000 0.9950 1.0000 0.9865 
0.00498 0.9995 1.0000 0.9949 1.0000 0.9863 
0.00505 0.9995 1.0000 0.9949 1.0000 0.9861 
0.00512 0.9995 1.0000 0.9948 1.0000 0.9859 
0.00519 0.9995 1.0000 0.9947 1.0000 0.9858 
0.00526 0.9995 1.0000 0.9947 1.0000 0.9856 
0.00533 0.9995 1.0000 0.9946 1.0000 0.9854 
0.00540 0.9995 1.0000 0.9945 1.0000 0.9852 
0.00547 0.9995 1.0000 0.9944 1.0000 0.9850 
0.00554 0.9995 1.0000 0.9944 1.0000 0.9848 
0.00561 0.9995 1.0000 0.9943 1.0000 0.9846 
0.00568 0.9995 1.0000 0.9942 1.0000 0.9844 
0.00575 0.9995 1.0000 0.9941 1.0000 0.9842 
0.00582 0.9995 1.0000 0.9941 1.0000 0.9841 
0.00589 0.9995 1.0000 0.9940 1.0000 0.9839 
0.00596 0.9994 1.0000 0.9939 1.0000 0.9837 
0.00603 0.9994 1.0000 0.9938 1.0000 0.9835 
0.00610 0.9994 1.0000 0.9938 1.0000 0.9833 
0.00617 0.9994 1.0000 0.9937 1.0000 0.9831 
0.00624 0.9994 1.0000 0.9936 1.0000 0.9829 
0.00631 0.9994 1.0000 0.9935 1.0000 0.9827 
0.00638 0.9994 1.0000 0.9935 1.0000 0.9826 
0.00645 0.9994 1.0000 0.9934 1.0000 0.9824 
0.00652 0.9994 1.0000 0.9933 1.0000 0.9822 
0.00659 0.9994 1.0000 0.9932 1.0000 0.9820 
0.00666 0.9994 1.0000 0.9932 1.0000 0.9818 
0.00673 0.9994 1.0000 0.9931 1.0000 0.9816 
0.00680 0.9994 1.0000 0.9930 1.0000 0.9814 
0.00687 0.9994 1.0000 0.9930 1.0000 0.9812 
0.00694 0.9993 1.0000 0.9929 1.0000 0.9811 
0.00701 0.9993 1.0000 0.9928 1.0000 0.9809 
0.00708 0.9993 1.0000 0.9927 1.0000 0.9807 
0.00715 0.9993 1.0000 0.9927 1.0000 0.9805 
0.00722 0.9993 1.0000 0.9926 1.0000 0.9803 
0.00729 0.9993 1.0000 0.9925 1.0000 0.9801 
0.00736 0.9993 1.0000 0.9924 1.0000 0.9799 
0.00743 0.9993 1.0000 0.9924 1.0000 0.9798 
0.00750 0.9993 1.0000 0.9923 1.0000 0.9796 
0.00757 0.9993 1.0000 0.9922 1.0000 0.9794 
0.00764 0.9993 1.0000 0.9922 1.0000 0.9792 
0.00771 0.9993 1.0000 0.9921 1.0000 0.9790 
0.00778 0.9993 1.0000 0.9920 1.0000 0.9788 
0.00785 0.9993 1.0000 0.9919 1.0000 0.9786 
0.00792 0.9992 1.0000 0.9919 1.0000 0.9785 
0.00799 0.9992 1.0000 0.9918 1.0000 0.9783 
0.00806 0.9992 1.0000 0.9917 1.0000 0.9781 
0.00813 0.9992 1.0000 0.9916 1.0000 0.9779 
0.00820 0.9992 1.0000 0.9916 1.0000 0.9777 
0.00827 0.9992 1.0000 0.9915 1.0000 0.9775 
0.00834 0.9992 1.0000 0.9914 1.0000 0.9773 
0.00841 0.9992 1.0000 0.9913 1.0000 0.9772 
