"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive" "mean_negative" "weighted_mean_negative" "max_negative" "min_negative"
0.00000 14261 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00007 14260 0 0.9999 1.0000 0.9998 1.0000 1.0000 1.0000 0.9999 0.9998 0.9998 0.9998 0.9998
0.00014 14259 0 0.9999 1.0000 0.9996 1.0000 1.0000 1.0000 0.9999 0.9996 0.9996 0.9996 0.9996
0.00021 14258 0 0.9998 1.0000 0.9994 0.9999 0.9999 1.0000 0.9998 0.9994 0.9994 0.9994 0.9994
0.00028 14257 0 0.9998 1.0000 0.9992 0.9999 0.9999 1.0000 0.9997 0.9992 0.9992 0.9992 0.9992
0.00035 14256 0 0.9997 1.0000 0.9990 0.9999 0.9999 1.0000 0.9997 0.9990 0.9990 0.9990 0.9990
0.00042 14255 0 0.9997 1.0000 0.9988 0.9999 0.9999 1.0000 0.9996 0.9988 0.9988 0.9988 0.9988
0.00049 14254 0 0.9996 1.0000 0.9986 0.9999 0.9999 1.0000 0.9995 0.9986 0.9986 0.9986 0.9986
0.00056 14253 0 0.9996 1.0000 0.9984 0.9998 0.9998 1.0000 0.9994 0.9984 0.9984 0.9984 0.9984
0.00063 14252 0 0.9995 1.0000 0.9982 0.9998 0.9998 1.0000 0.9994 0.9982 0.9982 0.9982 0.9982
0.00070 14251 0 0.9995 1.0000 0.9980 0.9998 0.9998 1.0000 0.9993 0.9980 0.9980 0.9980 0.9980
0.00077 14250 0 0.9994 1.0000 0.9978 0.9998 0.9998 1.0000 0.9992 0.9978 0.9978 0.9978 0.9978
0.00084 14249 0 0.9993 1.0000 0.9976 0.9998 0.9998 1.0000 0.9992 0.9976 0.9976 0.9976 0.9976
0.00091 14248 0 0.9993 1.0000 0.9974 0.9998 0.9998 1.0000 0.9991 0.9974 0.9974 0.9974 0.9974
0.00098 14247 0 0.9992 1.0000 0.9972 0.9997 0.9997 1.0000 0.9990 0.9972 0.9972 0.9972 0.9972
0.00105 14246 0 0.9992 1.0000 0.9971 0.9997 0.9997 1.0000 0.9990 0.9971 0.9971 0.9971 0.9971
0.00112 14245 0 0.9991 1.0000 0.9969 0.9997 0.9997 1.0000 0.9989 0.9969 0.9969 0.9969 0.9969
0.00119 14244 0 0.9991 1.0000 0.9967 0.9997 0.9997 1.0000 0.9988 0.9967 0.9967 0.9967 0.9967
0.00126 14243 0 0.9990 1.0000 0.9965 0.9997 0.9997 1.0000 0.9987 0.9965 0.9965 0.9965 0.9965
0.00133 14242 0 0.9990 1.0000 0.9963 0.9996 0.9996 1.0000 0.9987 0.9963 0.9963 0.9963 0.9963
0.00140 14241 0 0.9989 1.0000 0.9961 0.9996 0.9996 1.0000 0.9986 0.9961 0.9961 0.9961 0.9961
0.00147 14240 0 0.9989 1.0000 0.9959 0.9996 0.9996 1.0000 0.9985 0.9959 0.9959 0.9959 0.9959
0.00154 14239 0 0.9988 1.0000 0.9957 0.9996 0.9996 1.0000 0.9985 0.9957 0.9957 0.9957 0.9957
0.00161 14238 0 0.9988 1.0000 0.9955 0.9996 0.9996 1.0000 0.9984 0.9955 0.9955 0.9955 0.9955
0.00168 14237 0 0.9987 1.0000 0.9953 0.9995 0.9995 1.0000 0.9983 0.9953 0.9953 0.9953 0.9953
0.00175 14236 0 0.9986 1.0000 0.9951 0.9995 0.9995 1.0000 0.9983 0.9951 0.9951 0.9951 0.9951
0.00182 14235 0 0.9986 1.0000 0.9949 0.9995 0.9995 1.0000 0.9982 0.9949 0.9949 0.9949 0.9949
0.00189 14234 0 0.9985 1.0000 0.9947 0.9995 0.9995 1.0000 0.9981 0.9947 0.9947 0.9947 0.9947
0.00196 14233 0 0.9985 1.0000 0.9945 0.9995 0.9995 1.0000 0.9980 0.9945 0.9945 0.9945 0.9945
0.00203 14232 0 0.9984 1.0000 0.9943 0.9994 0.9994 1.0000 0.9980 0.9943 0.9943 0.9943 0.9943
0.00210 14231 0 0.9984 1.0000 0.9941 0.9994 0.9994 1.0000 0.9979 0.9941 0.9941 0.9941 0.9941
0.00217 14230 0 0.9983 1.0000 0.9940 0.9994 0.9994 1.0000 0.9978 0.9940 0.9940 0.9940 0.9940
0.00224 14229 0 0.9983 1.0000 0.9938 0.9994 0.9994 1.0000 0.9978 0.9938 0.9938 0.9938 0.9938
0.00231 14228 0 0.9982 1.0000 0.9936 0.9994 0.9994 1.0000 0.9977 0.9936 0.9936 0.9936 0.9936
0.00238 14227 0 0.9982 1.0000 0.9934 0.9994 0.9994 1.0000 0.9976 0.9934 0.9934 0.9934 0.9934
0.00245 14226 0 0.9981 1.0000 0.9932 0.9993 0.9993 1.0000 0.9975 0.9932 0.9932 0.9932 0.9932
