"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 30846 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 30843 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00019 30840 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00029 30837 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00039 30834 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00049 30831 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00058 30828 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00068 30825 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00078 30822 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00088 30819 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00097 30816 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00107 30813 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00117 30810 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00126 30807 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00136 30804 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00146 30801 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00156 30798 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00165 30795 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00175 30792 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00185 30789 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00195 30786 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00204 30783 0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
